customer_id,signup_date,subscription_months,monthly_spend,contract_type,monthly_logins,last_active_days_ago,support_tickets_6mo,features_used,payment_method,customer_age_days,engagement_score,churn,churn_risk_score,risk_category
CUST_000001,2023-04-02,56,62.11,Quarterly,10,10,4,5,Invoice,228,80,0,0.2974981891648021,Low Risk
CUST_000002,2022-05-04,51,16.87,Quarterly,4,14,2,7,PayPal,271,81,1,0.8046198674006633,Critical Risk
CUST_000003,2023-12-24,21,62.52,Quarterly,9,5,2,3,ACH,1146,70,1,0.4665037566109209,Medium Risk
CUST_000004,2022-10-16,35,212.23,Quarterly,12,7,1,3,ACH,109,63,1,0.7832707150309238,Critical Risk
CUST_000005,2023-03-29,12,131.42,Monthly,13,7,1,1,Credit Card,357,53,0,0.5228505664689086,High Risk
CUST_000006,2023-05-03,26,38.91,Quarterly,8,10,2,3,Invoice,976,65,0,0.39097886962339823,Medium Risk
CUST_000007,2021-08-12,51,12.04,Monthly,10,7,2,1,Credit Card,1496,58,0,0.3474204372954431,Medium Risk
CUST_000008,2023-06-23,19,32.49,Quarterly,4,12,2,4,Invoice,49,68,1,0.6607044042482308,High Risk
CUST_000009,2021-11-06,45,97.55,Monthly,9,12,3,10,Invoice,663,100,1,0.7591416600862972,Critical Risk
CUST_000010,2026-01-01,7,70.45,Annual,7,12,3,5,PayPal,688,78,1,0.7040300210457566,Critical Risk
CUST_000011,2025-01-21,47,40.75,Annual,11,11,4,10,Credit Card,813,100,1,0.7321403346695438,Critical Risk
CUST_000012,2022-12-11,55,12.83,Monthly,5,14,0,9,ACH,1115,81,1,0.8377847489613244,Critical Risk
CUST_000013,2025-06-06,7,37.83,Monthly,6,6,2,1,ACH,1338,59,1,0.8492910762857246,Critical Risk
CUST_000014,2022-04-11,26,41.65,Quarterly,8,10,0,8,PayPal,895,80,1,0.5584324480281209,High Risk
CUST_000015,2026-02-04,40,141.94,Quarterly,6,13,2,4,Invoice,1401,67,0,0.24852427977884595,Low Risk
CUST_000016,2022-07-06,5,61.23,Monthly,3,5,3,4,PayPal,831,80,1,0.8046740302281331,Critical Risk
CUST_000017,2023-04-05,21,28.67,Annual,6,9,3,1,PayPal,366,61,1,0.4491714604079832,Medium Risk
CUST_000018,2023-12-13,14,47.26,Annual,7,5,0,8,Credit Card,1569,85,0,0.3861606700438761,Medium Risk
CUST_000019,2021-09-18,4,13.42,Monthly,11,8,5,5,Invoice,1105,82,0,0.29100706786699226,Low Risk
CUST_000020,2025-12-23,23,189.8,Monthly,7,9,1,3,ACH,127,61,1,0.78010353140196,Critical Risk
CUST_000021,2021-09-20,42,32.32,Quarterly,9,9,2,5,Credit Card,1083,76,0,0.3877961015075957,Medium Risk
CUST_000022,2022-09-08,20,42.49,Annual,4,7,5,7,ACH,778,93,0,0.575217723066526,High Risk
CUST_000023,2024-03-24,15,31.95,Annual,7,11,1,9,PayPal,728,89,1,0.4981457306297606,Medium Risk
CUST_000024,2025-05-24,50,67.37,Annual,9,8,1,9,Invoice,1373,92,1,0.7731297722172763,Critical Risk
CUST_000025,2022-03-09,52,64.27,Monthly,9,6,1,7,ACH,1731,84,0,0.2976620890927067,Low Risk
CUST_000026,2022-05-26,45,72.82,Monthly,6,8,2,9,ACH,764,97,1,0.7132647846847213,Critical Risk
CUST_000027,2024-02-17,29,25.61,Monthly,6,6,2,9,PayPal,1352,99,1,0.5828225015104264,High Risk
CUST_000028,2025-04-12,8,28.97,Monthly,7,19,1,3,Invoice,1405,51,1,0.8639478840174717,Critical Risk
CUST_000029,2023-01-03,41,16.69,Annual,7,7,2,5,PayPal,853,78,0,0.4028214986828063,Medium Risk
CUST_000030,2023-09-20,48,63.28,Quarterly,6,12,1,2,ACH,255,53,0,0.33113178344518807,Medium Risk
CUST_000031,2025-07-30,19,12.03,Monthly,13,13,2,10,Credit Card,1546,97,0,0.26282159903730656,Low Risk
CUST_000032,2023-02-03,48,55.53,Monthly,6,8,4,5,Invoice,1263,82,0,0.6569636791195639,High Risk
CUST_000033,2025-01-28,39,111.89,Annual,7,15,1,7,Invoice,675,75,1,0.5652180862321265,High Risk
CUST_000034,2022-09-03,46,120.74,Quarterly,6,22,1,5,Invoice,784,60,0,0.6295669816456813,High Risk
CUST_000035,2026-04-11,28,39.8,Annual,10,12,3,8,PayPal,1312,93,1,0.616350640034008,High Risk
CUST_000036,2025-08-23,46,40.74,Quarterly,2,16,0,10,PayPal,1477,74,1,0.6651779426338296,High Risk
CUST_000037,2024-04-15,57,14.0,Annual,5,8,1,2,Credit Card,875,57,0,0.3065317968853297,Medium Risk
CUST_000038,2023-12-28,27,65.55,Annual,8,21,2,6,Credit Card,144,70,0,0.30523935640163924,Medium Risk
CUST_000039,2021-12-30,4,96.09,Monthly,5,11,2,10,Credit Card,1053,99,0,0.2967451762438942,Low Risk
CUST_000040,2025-01-13,58,24.03,Monthly,5,12,1,6,Credit Card,208,73,1,0.8293698037616143,Critical Risk
CUST_000041,2023-05-16,15,37.35,Monthly,8,13,1,4,Invoice,440,62,0,0.43832161380527124,Medium Risk
CUST_000042,2024-12-08,35,101.27,Annual,8,6,4,1,PayPal,1474,64,1,0.8387989872944236,Critical Risk
CUST_000043,2021-08-31,37,114.83,Quarterly,6,9,1,6,Invoice,1079,76,1,0.6735535834614502,High Risk
CUST_000044,2022-03-25,1,23.93,Quarterly,3,10,4,9,Credit Card,747,100,1,0.8574451612903227,Critical Risk
CUST_000045,2024-06-02,3,49.99,Monthly,7,6,1,1,Credit Card,1753,54,1,0.8511609523569656,Critical Risk
CUST_000046,2023-08-31,47,20.69,Monthly,8,9,2,6,Credit Card,1409,81,1,0.8412671617903635,Critical Risk
