session_id,user_id,start_time,end_time,session_duration_s,page_views,page_sequence,entry_page,exit_page,bounce,referrer,device,country,conversion
1848f080-732d-449a-9be3-bd2f79079e8d,user_07271,2025-06-17T09:18:00,2025-06-17T09:19:06,66,4,/pricing|/settings|/home|/,/pricing,/,0,google,desktop,US,0
0748829e-ec63-4b13-9e2a-132ee7d74af6,user_00131,2026-01-02T03:59:00,2026-01-02T04:00:18,78,4,/signup|/features|/features|/pricing,/signup,/pricing,0,direct,tablet,IN,1
2508b754-06f7-40cd-8d67-e6996b26987d,user_03386,2026-05-10T12:36:00,2026-05-10T12:36:33,33,2,/pricing|/help,/pricing,/help,0,google,desktop,JP,0
0d350111-50bc-4138-99d8-70f66c8494ff,user_04659,2025-06-02T01:09:00,2025-06-02T01:09:48,48,3,/|/help|/login,/,/login,0,facebook,desktop,US,0
f58f7846-530d-4fcf-bb98-c4758155247d,user_02436,2026-03-04T10:11:00,2026-03-04T10:11:48,48,3,/|/home|/dashboard,/,/dashboard,0,facebook,mobile,JP,0
e139b056-aae5-4ed2-8818-341a26ec4356,user_00035,2025-11-07T07:25:00,2025-11-07T07:25:28,28,2,/features|/blog/post-2,/features,/blog/post-2,0,google,desktop,GB,0
82dc5e53-9ab5-4efa-af58-636fa3d93450,user_01501,2025-11-22T06:35:00,2025-11-22T06:36:02,62,3,/home|/|/,/home,/,0,google,desktop,GB,0
6cf99843-5816-41c5-87f4-1956e2db39af,user_07870,2025-08-09T03:45:00,2025-08-09T03:46:24,84,4,/blog|/home|/features|/features,/blog,/features,0,google,tablet,AU,0
f05fba13-d6e5-45b5-bcad-03b144f65a44,user_00493,2026-04-21T09:16:00,2026-04-21T09:16:09,9,1,/signup,/signup,/signup,1,direct,mobile,DE,1
0cd7e069-5e7e-4f10-aa5f-e2b463a4c214,user_05795,2025-08-16T19:19:00,2025-08-16T19:20:09,69,3,/|/login|/dashboard,/,/dashboard,0,newsletter,mobile,US,0
edbb1a9e-9864-45d7-9b5b-db2b5ea5d941,user_07216,2026-03-31T00:24:00,2026-03-31T00:25:18,78,4,/pricing|/|/login|/features,/pricing,/features,0,direct,mobile,BR,0
9fe9b794-1848-46a3-a397-8ca786336fcf,user_07386,2025-09-19T10:22:00,2025-09-19T10:22:35,35,1,/features,/features,/features,1,direct,desktop,US,0
d0b96a88-0f9f-4060-a93c-3456c492e0cd,user_00864,2025-10-13T07:09:00,2025-10-13T07:10:04,64,3,/pricing|/help|/login,/pricing,/login,0,google,desktop,Other,0
7e72db28-385d-40f3-8993-95a1420a7c63,user_01723,2025-10-01T02:33:00,2025-10-01T02:34:24,84,5,/features|/signup|/dashboard|/blog|/contact,/features,/contact,0,facebook,mobile,JP,1
349dfc1d-443d-4571-ace9-44b89b7f38e4,user_03628,2025-06-26T13:03:00,2025-06-26T13:03:36,36,2,/home|/,/home,/,0,facebook,desktop,US,0
445f0f18-d5b3-4d26-b7cf-88b1cc8f2435,user_01283,2025-06-07T18:53:00,2025-06-07T18:54:06,66,3,/blog|/contact|/contact,/blog,/contact,0,facebook,desktop,US,0
4382587d-2d64-4f0a-82fe-9676146eeee5,user_07995,2025-12-23T00:20:00,2025-12-23T00:20:47,47,3,/|/pricing|/help,/,/help,0,facebook,mobile,US,0
128b3217-16ad-4f13-be24-4768e0289b84,user_03000,2026-03-12T07:59:00,2026-03-12T07:59:47,47,3,/|/blog|/pricing,/,/pricing,0,google,mobile,US,0
c8ddb032-f94f-46f6-aa93-71f8eb6c27ad,user_05250,2026-04-09T12:35:00,2026-04-09T12:37:17,137,6,/home|/contact|/blog/post-1|/home|/home|/blog/post-2,/home,/blog/post-2,0,direct,mobile,US,0
